Movie Name,Total Number of Ratings,Rating Score,Genre,Budget,Gross USA
Kimi no na wa. (2016) ,"166,063",8.4,Animation,"JPY370,000,000","$5,017,246"
Coco (2017) ,"334,589",8.4,Animation,"$175,000,000","$209,726,015"
American Beauty (1999) ,"1,034,168",8.3,Drama,"$15,000,000","$130,096,601"
Braveheart (1995) ,"929,375",8.3,Biography,"$72,000,000","$75,609,945"
Das Boot (1981) ,"221,818",8.3,Adventure,"DEM32,000,000","$11,487,676"
1917 (2019) ,"293,560",8.3,Drama,"$95,000,000","$159,227,644"
3 Idiots (2009) ,"322,782",8.4,Comedy,"INR550,000,000","$6,532,874"
Toy Story (1995) ,"849,016",8.3,Animation,"$30,000,000","$222,498,679"
Tengoku to jigoku (1963) ,"28,291",8.5,Crime,None,"$46,808"
Taare Zameen Par (2007) ,"155,747",8.4,Drama,None,"$1,223,869"
Star Wars: Episode VI - Return of the Jedi (1983) ,"913,182",8.3,Action,"$32,500,000","$309,306,177"
Amadeus (1984) ,"354,784",8.3,Biography,"$18,000,000","$51,973,029"
Reservoir Dogs (1992) ,"880,316",8.3,Crime,"$1,200,000","$2,832,029"
Inglourious Basterds (2009) ,"1,203,181",8.3,Adventure,"$70,000,000","$120,540,719"
Good Will Hunting (1997) ,"819,297",8.3,Drama,"$10,000,000","$138,433,435"
2001: A Space Odyssey (1968) ,"575,477",8.3,Adventure,"$12,000,000","$60,541,301"
Vertigo (1958) ,"342,561",8.3,Mystery,"$2,479,000","$7,705,225"
Requiem for a Dream (2000) ,"735,916",8.3,Drama,"$4,500,000","$3,635,482"
M - Eine Stadt sucht einen Mörder (1931) ,"135,991",8.3,Crime,None,"$35,566"
Dangal (2016) ,"140,599",8.4,Action,"INR700,000,000","$12,391,761"
Eternal Sunshine of the Spotless Mind (2004) ,"871,912",8.3,Drama,"$20,000,000","$34,400,301"
Citizen Kane (1941) ,"381,707",8.3,Drama,"$839,727","$1,585,634"
Jagten (2012) ,"261,885",8.3,Drama,"$3,800,000","$613,308"
Capharnaüm (2018) ,"45,100",8.4,Drama,"$4,000,000","$1,661,096"
Full Metal Jacket (1987) ,"645,521",8.3,Drama,"$30,000,000","$46,357,676"
North by Northwest (1959) ,"285,901",8.3,Adventure,"$3,101,000",None
A Clockwork Orange (1971) ,"727,382",8.3,Crime,"$2,200,000","$26,589,355"
The Kid (1921) ,"105,741",8.3,Comedy,"$250,000",None
Ladri di biciclette (1948) ,"137,292",8.3,Drama,"$133,000","$371,111"
Snatch (2000) ,"754,446",8.3,Comedy,"GBP6,000,000","$30,328,156"
Singin' in the Rain (1952) ,"208,600",8.3,Comedy,"$2,540,800","$1,826,108"
Scarface (1983) ,"705,974",8.3,Crime,"$25,000,000","$45,408,703"
Taxi Driver (1976) ,"687,072",8.3,Crime,"$1,300,000","$28,262,574"
Amélie (2001) ,"680,780",8.3,Comedy,"$10,000,000","$33,225,499"
Lawrence of Arabia (1962) ,"256,040",8.3,Adventure,"$15,000,000","$45,306,425"
The Sting (1973) ,"231,912",8.3,Comedy,"$5,500,000","$156,000,000"
Toy Story 3 (2010) ,"727,784",8.3,Animation,"$200,000,000","$415,004,880"
Metropolis (1927) ,"152,879",8.3,Drama,"DEM6,000,000","$1,236,166"
Ikiru (1952) ,"63,112",8.3,Drama,None,"$60,239"
Per qualche dollaro in più (1965) ,"220,491",8.3,Western,"$600,000","$15,000,000"
Jodaeiye Nader az Simin (2011) ,"209,754",8.3,Drama,"$500,000","$7,099,055"
Double Indemnity (1944) ,"136,209",8.3,Crime,"$927,262",None
